cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
1,"-34.86347311448007,-56.17403019571399",2,"-30.407062416732217,-56.81554727891256",102,610726
1,"-34.86347311448007,-56.17403019571399",3,"-34.70480623405611,-56.04615274218908",103,22530
1,"-34.86347311448007,-56.17403019571399",4,"-32.412530637702794,-54.04713015664623",104,393686
1,"-34.86347311448007,-56.17403019571399",5,"-34.23198949912197,-57.74210900659811",105,172776
1,"-34.86347311448007,-56.17403019571399",6,"-33.29103587835989,-56.27098299307005",106,198970
1,"-34.86347311448007,-56.17403019571399",7,"-33.53920654666071,-56.90577692183583",107,182361
1,"-34.86347311448007,-56.17403019571399",8,"-34.032026238093366,-56.13160980422134",108,102030
1,"-34.86347311448007,-56.17403019571399",9,"-34.21457704605623,-55.15399089880148",109,135946
1,"-34.86347311448007,-56.17403019571399",10,"-34.85347673674695,-54.98336526692671",110,124217
1,"-34.86347311448007,-56.17403019571399",11,"-32.283872150647106,-57.959994965057604",111,368049
1,"-34.86347311448007,-56.17403019571399",12,"-32.92202758658411,-57.975510334124905",112,314778
1,"-34.86347311448007,-56.17403019571399",13,"-31.02322481060381,-55.50845498927073",113,496209
1,"-34.86347311448007,-56.17403019571399",14,"-34.151878164969204,-54.031687712278405",114,253583
1,"-34.86347311448007,-56.17403019571399",15,"-31.35982522025497,-57.8823388590987",115,487011
1,"-34.86347311448007,-56.17403019571399",16,"-34.51474804942168,-56.61756156142106",116,67043
1,"-34.86347311448007,-56.17403019571399",17,"-33.41667869361325,-57.98829706231997",117,256697
1,"-34.86347311448007,-56.17403019571399",18,"-31.967640007891212,-55.9947894362848",118,359810
1,"-34.86347311448007,-56.17403019571399",19,"-33.168234436521246,-54.359141645492166",119,288238
2,"-30.407062416732217,-56.81554727891256",1,"-34.86347311448007,-56.17403019571399",201,610726
2,"-30.407062416732217,-56.81554727891256",3,"-34.70480623405611,-56.04615274218908",203,601915
2,"-30.407062416732217,-56.81554727891256",4,"-32.412530637702794,-54.04713015664623",204,406691
2,"-30.407062416732217,-56.81554727891256",5,"-34.23198949912197,-57.74210900659811",205,556293
2,"-30.407062416732217,-56.81554727891256",6,"-33.29103587835989,-56.27098299307005",206,446278
2,"-30.407062416732217,-56.81554727891256",7,"-33.53920654666071,-56.90577692183583",207,450737
2,"-30.407062416732217,-56.81554727891256",8,"-34.032026238093366,-56.13160980422134",208,533821
2,"-30.407062416732217,-56.81554727891256",9,"-34.21457704605623,-55.15399089880148",209,593134
2,"-30.407062416732217,-56.81554727891256",10,"-34.85347673674695,-54.98336526692671",210,658957
2,"-30.407062416732217,-56.81554727891256",11,"-32.283872150647106,-57.959994965057604",211,304615
2,"-30.407062416732217,-56.81554727891256",12,"-32.92202758658411,-57.975510334124905",212,380389
2,"-30.407062416732217,-56.81554727891256",13,"-31.02322481060381,-55.50845498927073",213,165820
2,"-30.407062416732217,-56.81554727891256",14,"-34.151878164969204,-54.031687712278405",214,623189
2,"-30.407062416732217,-56.81554727891256",15,"-31.35982522025497,-57.8823388590987",215,184479
2,"-30.407062416732217,-56.81554727891256",16,"-34.51474804942168,-56.61756156142106",216,570257
2,"-30.407062416732217,-56.81554727891256",17,"-33.41667869361325,-57.98829706231997",217,447323
2,"-30.407062416732217,-56.81554727891256",18,"-31.967640007891212,-55.9947894362848",218,254949
2,"-30.407062416732217,-56.81554727891256",19,"-33.168234436521246,-54.359141645492166",219,481308
3,"-34.70480623405611,-56.04615274218908",1,"-34.86347311448007,-56.17403019571399",301,22512
3,"-34.70480623405611,-56.04615274218908",2,"-30.407062416732217,-56.81554727891256",302,601916
3,"-34.70480623405611,-56.04615274218908",4,"-32.412530637702794,-54.04713015664623",304,371156
3,"-34.70480623405611,-56.04615274218908",5,"-34.23198949912197,-57.74210900659811",305,189991
3,"-34.70480623405611,-56.04615274218908",6,"-33.29103587835989,-56.27098299307005",306,190160
3,"-34.70480623405611,-56.04615274218908",7,"-33.53920654666071,-56.90577692183583",307,174329
3,"-34.70480623405611,-56.04615274218908",8,"-34.032026238093366,-56.13160980422134",308,88132
3,"-34.70480623405611,-56.04615274218908",9,"-34.21457704605623,-55.15399089880148",309,114784
3,"-34.70480623405611,-56.04615274218908",10,"-34.85347673674695,-54.98336526692671",310,113965
3,"-34.70480623405611,-56.04615274218908",11,"-32.283872150647106,-57.959994965057604",311,360017
3,"-34.70480623405611,-56.04615274218908",12,"-32.92202758658411,-57.975510334124905",312,313049
3,"-34.70480623405611,-56.04615274218908",13,"-31.02322481060381,-55.50845498927073",313,494737
3,"-34.70480623405611,-56.04615274218908",14,"-34.151878164969204,-54.031687712278405",314,232421
3,"-34.70480623405611,-56.04615274218908",15,"-31.35982522025497,-57.8823388590987",315,478978
3,"-34.70480623405611,-56.04615274218908",16,"-34.51474804942168,-56.61756156142106",316,82580
3,"-34.70480623405611,-56.04615274218908",17,"-33.41667869361325,-57.98829706231997",317,254967
3,"-34.70480623405611,-56.04615274218908",18,"-31.967640007891212,-55.9947894362848",318,351000
3,"-34.70480623405611,-56.04615274218908",19,"-33.168234436521246,-54.359141645492166",319,265708
4,"-32.412530637702794,-54.04713015664623",1,"-34.86347311448007,-56.17403019571399",401,393668
4,"-32.412530637702794,-54.04713015664623",2,"-30.407062416732217,-56.81554727891256",402,406722
4,"-32.412530637702794,-54.04713015664623",3,"-34.70480623405611,-56.04615274218908",403,371156
4,"-32.412530637702794,-54.04713015664623",5,"-34.23198949912197,-57.74210900659811",405,472749
4,"-32.412530637702794,-54.04713015664623",6,"-33.29103587835989,-56.27098299307005",406,277117
4,"-32.412530637702794,-54.04713015664623",7,"-33.53920654666071,-56.90577692183583",407,347484
4,"-32.412530637702794,-54.04713015664623",8,"-34.032026238093366,-56.13160980422134",408,335796
4,"-32.412530637702794,-54.04713015664623",9,"-34.21457704605623,-55.15399089880148",409,268550
4,"-32.412530637702794,-54.04713015664623",10,"-34.85347673674695,-54.98336526692671",410,322413
4,"-32.412530637702794,-54.04713015664623",11,"-32.283872150647106,-57.959994965057604",411,444740
4,"-32.412530637702794,-54.04713015664623",12,"-32.92202758658411,-57.975510334124905",412,486392
4,"-32.412530637702794,-54.04713015664623",13,"-31.02322481060381,-55.50845498927073",413,240877
4,"-32.412530637702794,-54.04713015664623",14,"-34.151878164969204,-54.031687712278405",414,254936
4,"-32.412530637702794,-54.04713015664623",15,"-31.35982522025497,-57.8823388590987",415,427094
4,"-32.412530637702794,-54.04713015664623",16,"-34.51474804942168,-56.61756156142106",416,417393
4,"-32.412530637702794,-54.04713015664623",17,"-33.41667869361325,-57.98829706231997",417,468723
4,"-32.412530637702794,-54.04713015664623",18,"-31.967640007891212,-55.9947894362848",418,249485
4,"-32.412530637702794,-54.04713015664623",19,"-33.168234436521246,-54.359141645492166",419,109230
5,"-34.23198949912197,-57.74210900659811",1,"-34.86347311448007,-56.17403019571399",501,172798
5,"-34.23198949912197,-57.74210900659811",2,"-30.407062416732217,-56.81554727891256",502,556293
5,"-34.23198949912197,-57.74210900659811",3,"-34.70480623405611,-56.04615274218908",503,189990
5,"-34.23198949912197,-57.74210900659811",4,"-32.412530637702794,-54.04713015664623",504,472743
5,"-34.23198949912197,-57.74210900659811",6,"-33.29103587835989,-56.27098299307005",506,199701
5,"-34.23198949912197,-57.74210900659811",7,"-33.53920654666071,-56.90577692183583",507,125265
5,"-34.23198949912197,-57.74210900659811",8,"-34.032026238093366,-56.13160980422134",508,194958
5,"-34.23198949912197,-57.74210900659811",9,"-34.21457704605623,-55.15399089880148",509,282443
5,"-34.23198949912197,-57.74210900659811",10,"-34.85347673674695,-54.98336526692671",510,296898
5,"-34.23198949912197,-57.74210900659811",11,"-32.283872150647106,-57.959994965057604",511,251003
5,"-34.23198949912197,-57.74210900659811",12,"-32.92202758658411,-57.975510334124905",512,173120
5,"-34.23198949912197,-57.74210900659811",13,"-31.02322481060381,-55.50845498927073",513,484791
5,"-34.23198949912197,-57.74210900659811",14,"-34.151878164969204,-54.031687712278405",514,398581
5,"-34.23198949912197,-57.74210900659811",15,"-31.35982522025497,-57.8823388590987",515,369964
5,"-34.23198949912197,-57.74210900659811",16,"-34.51474804942168,-56.61756156142106",516,123289
5,"-34.23198949912197,-57.74210900659811",17,"-33.41667869361325,-57.98829706231997",517,115038
5,"-34.23198949912197,-57.74210900659811",18,"-31.967640007891212,-55.9947894362848",518,348391
5,"-34.23198949912197,-57.74210900659811",19,"-33.168234436521246,-54.359141645492166",519,412983
6,"-33.29103587835989,-56.27098299307005",1,"-34.86347311448007,-56.17403019571399",601,198970
6,"-33.29103587835989,-56.27098299307005",2,"-30.407062416732217,-56.81554727891256",602,446276
6,"-33.29103587835989,-56.27098299307005",3,"-34.70480623405611,-56.04615274218908",603,190159
6,"-33.29103587835989,-56.27098299307005",4,"-32.412530637702794,-54.04713015664623",604,277112
6,"-33.29103587835989,-56.27098299307005",5,"-34.23198949912197,-57.74210900659811",605,199701
6,"-33.29103587835989,-56.27098299307005",7,"-33.53920654666071,-56.90577692183583",607,74436
6,"-33.29103587835989,-56.27098299307005",8,"-34.032026238093366,-56.13160980422134",608,121653
6,"-33.29103587835989,-56.27098299307005",9,"-34.21457704605623,-55.15399089880148",609,202724
6,"-33.29103587835989,-56.27098299307005",10,"-34.85347673674695,-54.98336526692671",610,260638
6,"-33.29103587835989,-56.27098299307005",11,"-32.283872150647106,-57.959994965057604",611,256355
6,"-33.29103587835989,-56.27098299307005",12,"-32.92202758658411,-57.975510334124905",612,235479
6,"-33.29103587835989,-56.27098299307005",13,"-31.02322481060381,-55.50845498927073",613,336662
6,"-33.29103587835989,-56.27098299307005",14,"-34.151878164969204,-54.031687712278405",614,299700
6,"-33.29103587835989,-56.27098299307005",15,"-31.35982522025497,-57.8823388590987",615,347922
6,"-33.29103587835989,-56.27098299307005",16,"-34.51474804942168,-56.61756156142106",616,174995
6,"-33.29103587835989,-56.27098299307005",17,"-33.41667869361325,-57.98829706231997",617,195675
6,"-33.29103587835989,-56.27098299307005",18,"-31.967640007891212,-55.9947894362848",618,200263
6,"-33.29103587835989,-56.27098299307005",19,"-33.168234436521246,-54.359141645492166",619,217352
7,"-33.53920654666071,-56.90577692183583",1,"-34.86347311448007,-56.17403019571399",701,182359
7,"-33.53920654666071,-56.90577692183583",2,"-30.407062416732217,-56.81554727891256",702,450737
7,"-33.53920654666071,-56.90577692183583",3,"-34.70480623405611,-56.04615274218908",703,174329
7,"-33.53920654666071,-56.90577692183583",4,"-32.412530637702794,-54.04713015664623",704,347479
